,ANIO,MES,LOCALIDAD,COD_UPZ,Cluster
434,2020,8,KENNEDY,46,0
435,2020,8,KENNEDY,48,1
436,2020,8,KENNEDY,79,2
437,2020,8,PUENTE ARANDA,108,2
438,2020,8,PUENTE ARANDA,111,1
439,2020,8,PUENTE ARANDA,40,0
440,2020,8,PUENTE ARANDA,41,1
441,2020,8,RAFAEL URIBE URIBE,39,1
442,2020,8,RAFAEL URIBE URIBE,53,1
443,2020,8,RAFAEL URIBE URIBE,54,1
444,2020,8,SANTA FE,91,2
445,2020,8,SANTA FE,93,1
446,2020,8,SUBA,UPR1,1
447,2020,8,SUBA,17,1
448,2020,8,SUBA,18,2
449,2020,8,SUBA,19,0
450,2020,8,SUBA,2,1
451,2020,8,SUBA,20,1
452,2020,8,SUBA,23,0
453,2020,8,SUBA,24,2
454,2020,8,SUBA,25,1
455,2020,8,SUBA,27,1
456,2020,8,SUBA,28,1
457,2020,8,SUBA,3,1
458,2020,8,TEUSAQUILLO,100,1
459,2020,8,TEUSAQUILLO,101,1
460,2020,8,TEUSAQUILLO,106,1
461,2020,8,TEUSAQUILLO,107,2
462,2020,8,TUNJUELITO,42,1
463,2020,8,TUNJUELITO,62,1
464,2020,8,USAQUÃ‰N,10,2
465,2020,8,USAQUÃ‰N,11,1
466,2020,8,USAQUÃ‰N,12,1
467,2020,8,USAQUÃ‰N,13,2
468,2020,8,USAQUÃ‰N,14,2
469,2020,8,USAQUÃ‰N,15,1
470,2020,8,USAQUÃ‰N,16,2
471,2020,8,USAQUÃ‰N,9,1
472,2020,8,USME,56,1
473,2020,8,USME,57,1
474,2020,8,USME,58,1
475,2020,8,USME,61,0
476,2020,9,ANTONIO NARIÃ‘O,35,1
477,2020,9,ANTONIO NARIÃ‘O,38,1
478,2020,9,BARRIOS UNIDOS,103,1
479,2020,9,BARRIOS UNIDOS,21,1
480,2020,9,BARRIOS UNIDOS,22,1
481,2020,9,BARRIOS UNIDOS,98,1
482,2020,9,BOSA,49,1
483,2020,9,BOSA,84,1
484,2020,9,BOSA,85,1
485,2020,9,BOSA,86,1
486,2020,9,CANDELARIA,94,1
487,2020,9,CHAPINERO,88,1
488,2020,9,CHAPINERO,90,1
489,2020,9,CHAPINERO,97,2
490,2020,9,CHAPINERO,99,2
491,2020,9,KENNEDY,113,1
492,2020,9,KENNEDY,44,2
493,2020,9,KENNEDY,46,0
494,2020,9,KENNEDY,48,1
495,2020,9,KENNEDY,79,2
496,2020,9,PUENTE ARANDA,108,1
497,2020,9,PUENTE ARANDA,111,1
498,2020,9,PUENTE ARANDA,40,1
499,2020,9,PUENTE ARANDA,41,1
500,2020,9,RAFAEL URIBE URIBE,39,1
501,2020,9,RAFAEL URIBE URIBE,53,1
502,2020,9,RAFAEL URIBE URIBE,54,1
503,2020,9,SANTA FE,91,2
504,2020,9,SANTA FE,93,1
505,2020,9,SUBA,UPR1,1
506,2020,9,SUBA,17,1
507,2020,9,SUBA,18,2
508,2020,9,SUBA,19,0
509,2020,9,SUBA,2,1
510,2020,9,SUBA,20,1
511,2020,9,SUBA,23,2
512,2020,9,SUBA,24,2
513,2020,9,SUBA,25,1
514,2020,9,SUBA,27,1
515,2020,9,SUBA,28,1
516,2020,9,SUBA,3,0
517,2020,9,TEUSAQUILLO,100,1
518,2020,9,TEUSAQUILLO,101,1
519,2020,9,TEUSAQUILLO,106,1
520,2020,9,TEUSAQUILLO,107,2
521,2020,9,TUNJUELITO,42,1
522,2020,9,TUNJUELITO,62,1
523,2020,9,USAQUÃ‰N,10,2
524,2020,9,USAQUÃ‰N,11,1
525,2020,9,USAQUÃ‰N,12,1
526,2020,9,USAQUÃ‰N,13,2
527,2020,9,USAQUÃ‰N,14,2
528,2020,9,USAQUÃ‰N,15,1
529,2020,9,USAQUÃ‰N,16,2
530,2020,9,USAQUÃ‰N,9,0
531,2020,9,USME,56,0
532,2020,9,USME,57,1
533,2020,9,USME,58,1
534,2020,9,USME,61,1
535,2020,10,ANTONIO NARIÃ‘O,35,1
536,2020,10,ANTONIO NARIÃ‘O,38,1
537,2020,10,BARRIOS UNIDOS,103,1
538,2020,10,BARRIOS UNIDOS,21,1
539,2020,10,BARRIOS UNIDOS,22,1
540,2020,10,BARRIOS UNIDOS,98,1
541,2020,10,BOSA,49,1
